,pianist,track,duration,album,composition,setting,split
656,Kenny Drew,jtd/drewk-manymilesaway-wrightespecsc-1953-e47247c4,87.07942708333333,Kenny Drew (Kenny Drew and His Progressive Piano),many miles away,trio,train
657,Oscar Peterson,jtd/petersono-betweenthedevilandthe-brownrthigpene-1959-52c3fed8,49.98958333333333,Oscar Peterson (Oscar Peterson Plays the Harold Arlen Song Book),between the devil and the deep blue sea,trio,train
658,McCoy Tyner,jtd/tynerm-speaklow-davisajonese-1962-0d6615ac,138.08984375,McCoy Tyner (Inception),speak low,trio,train
659,Junior Mance,jtd/mancej-whispernot-cleyndertabrowns-2000-7234835b,198.0,Junior Mance (Blues Ballads and a Train),whisper not,trio,train
660,McCoy Tyner,jtd/tynerm-summertime-sharpeahayesl-1987-a6045451,109.61979166666666,McCoy Tyner (Bon Voyage),summertime,trio,train
661,Junior Mance,jtd/mancej-wee-woodejdurhamb-1994-3e3dc566,169.98958333333331,Junior Mance (Softly as in a Morning Sunrise),wee,trio,train
662,John Hicks,jtd/hicksj-rosetta-dolphindbrooksc-2003-10a63490,129.9296875,John Hicks (Fathas Day An Earl Hines Songbook),rosetta,trio,train
663,Kenny Barron,jtd/barronk-catchandrelease-kitagawakbladeb-2005-432b4129,121.98567708333333,Kenny Barron (Prayer),catch and release,trio,train
664,Kenny Barron,jtd/barronk-beautifullove-mrazgrileyb-2009-c87abfa6,79.98958333333333,Kenny Barron (Minor Blues),beautiful love,trio,train
665,Oscar Peterson,jtd/petersono-wheatland-orstednhayesl-1971-94f2480f,162.5,Oscar Peterson (Great Connection),wheatland,trio,train
666,Keith Jarrett,jtd/jarrettk-itcouldhappentoyou-peacockgdejohnettej-1996-058a967c,239.55989583333331,Keith Jarrett (Tokyo 96),it could happen to you,trio,train
667,Thelonious Monk,jtd/monkt-nutty-mckibbonablakeya-1971-e99b4feb,139.98958333333331,Thelonious Monk (The Complete Black Lion and Vogue Recordings of Thelonious Monk),nutty,trio,train
668,Kenny Drew,jtd/drewk-illrememberapril-wrightespecsc-1953-cf0eadd8,219.12890625,Kenny Drew (Kenny Drew and His Progressive Piano),ill remember april,trio,train
669,Bill Evans,jtd/evansb-wakingup-israelscmotianp-1962-fd5c2d2d,69.98958333333333,Bill Evans (The Second Trio),waking up,trio,train
670,Bill Evans,jtd/evansb-autumnleaves-gomezemorellm-1968-5fee1702,59.98958333333333,Bill Evans (Live at Art DLugoffs Top of the Gate),autumn leaves,trio,train
671,Bill Evans,jtd/evansb-yesterdays-gomezemorellm-1968-43d1c693,52.5,Bill Evans (Live at Art DLugoffs Top of the Gate),yesterdays,trio,train
672,Oscar Peterson,jtd/petersono-autumnleaves-brownrthigpene-1961-6f9187d0,106.81901041666666,Oscar Peterson (The London House Sessions),autumn leaves,trio,train
673,Teddy Wilson,jtd/wilsont-oneoclockjump-holleymdahlandern-1959-1631f89f,66.13932291666666,Teddy Wilson (And Then They Wrote),one oclock jump,trio,train
674,Kenny Drew,jtd/drewk-inyourownsweetway-rstednqueena-1990-3ab72aec,159.98958333333331,Kenny Drew (Piano Night),in your own sweet way,trio,train
675,Keith Jarrett,jtd/jarrettk-inyourownsweetway-peacockgdejohnettej-1993-df10bb52,269.9895833333333,Keith Jarrett (Live at Open Theater East),in your own sweet way,trio,train
676,Bill Evans,jtd/evansb-elsa-gomezemorellm-1972-81478259,59.98958333333333,Bill Evans (Momentum),elsa,trio,train
677,Keith Jarrett,jtd/jarrettk-scrapplefromtheapple-peacockgdejohnettej-1998-258353ef,279.40885416666663,Keith Jarrett (After the Fall),i got rhythm,trio,train
678,Bill Evans,jtd/evansb-somedaymyprincewillcome-gomezemorellm-1974-426cf53f,69.72916666666666,Bill Evans (Half Moon Bay),someday my prince will come,trio,train
679,Ahmad Jamal,jtd/jamala-myfirstlovesong-nasserjlampkinc-1966-7e4a5118,116.87890625,Ahmad Jamal (Emerald City Nights Live At The Penthouse 19651966),my love song,trio,train
680,Bill Evans,jtd/evansb-likesomeoneinlove-johnsonmlabarberaj-1980-bfd54fcf,86.46875,Bill Evans (Consecration),like someone in love,trio,train
681,Bill Evans,jtd/evansb-imgettingsentimentaloveryou-gomezemannes-1965-05ec6a48,99.64973958333333,Bill Evans (Empathy  A Simple Matter of Conviction),im getting sentimental over you,trio,train
682,Tommy Flanagan,jtd/flanagant-birdsong-lundgaardjnashl-1993-a40a9735,149.98958333333331,Tommy Flanagan (Lets Play the Music of Thad Jones),birdsong,trio,train
683,Chick Corea,jtd/coreac-veryearly-gomezemotianp-2010-8435d193,109.98958333333333,Chick Corea (Further Explorations),very early,trio,train
684,Bill Evans,jtd/evansb-myromance-johnsonmlabarberaj-1980-9737dead,29.408854166666664,Bill Evans (Turn Out the Stars The Final Village Vanguard Sessions),my romance,trio,train
685,Gene Harris,jtd/brownr-equinox-harrisghamiltonj-1991-7e20d7f7,59.98958333333333,Gene Harris (3 Dimensional),equinox,trio,train
686,McCoy Tyner,jtd/tynerm-crescent-sharpeascotta-1989-e0091f6e,239.98958333333331,McCoy Tyner (Live at Sweet Basil),crescent,trio,train
687,Oscar Peterson,jtd/petersono-moanin-brownrthigpene-1961-b9abb4e9,217.46875,Oscar Peterson (The London House Sessions),moanin,trio,train
688,Keith Jarrett,jtd/jarrettk-churchdreams-hadencmotianp-1967-f2d04238,109.98958333333333,Keith Jarrett (Life Between the Exit Signs),church dreams,trio,train
689,Bill Evans,jtd/evansb-wrapyourtroublesindreams-gomezejoep-1966-8246298a,69.98958333333333,Bill Evans (The Complete Bill Evans on Verve),wrap your troubles in dreams,trio,train
690,Thelonious Monk,jtd/monkt-honeysucklerose-pettifordoblakeya-1957-6f814215,79.27994791666666,Thelonious Monk (85th Birthday Celebration),honeysuckle rose,trio,train
691,Oscar Peterson,jtd/petersono-teachmetonight-mrazgpricer-1970-e6cb5958,166.91927083333331,Oscar Peterson (Two Originals Walking the Line  Another Day),teach me tonight,trio,train
692,Oscar Peterson,jtd/petersono-onthetrail-orstednhayesl-1971-c7d26577,69.98958333333333,Oscar Peterson (Great Connection),on the trail,trio,train
693,Oscar Peterson,jtd/petersono-summertime-orstednhannaj-1974-00fca871,38.6796875,Oscar Peterson (Oscar Peterson in Russia),summertime,trio,train
694,Cedar Walton,jtd/waltonc-myfunnyvalentine-carterrhigginsb-1991-127df93e,69.58984375,Cedar Walton (My Funny Valentine),my funny valentine,trio,train
695,Tommy Flanagan,jtd/flanagant-outofthisworld-mrazgkayc-1977-dc958c18,158.70963541666666,Tommy Flanagan (Plays the Music of Harold Arlen),out of this world,trio,train
696,Thelonious Monk,jtd/monkt-nutty-heathpblakeya-1954-665a8e00,107.96223958333333,Thelonious Monk (Blue Monk Vol 2),nutty,trio,train
697,Bill Evans,jtd/evansb-inasentimentalmood-gomezedejohnettej-1967-f0f5dfc0,59.98958333333333,Bill Evans (Some Other Time The Lost Session From the Black Forest),in a sentimental mood,trio,train
698,Ahmad Jamal,jtd/jamala-aprilinparis-crosbyifournierv-1960-b5159e62,108.52994791666666,Ahmad Jamal (The Complete Ahmad Jamal Trio Argo Sessions 195662),april in paris,trio,train
699,Abdullah Ibrahim,jtd/ibrahima-tintinyana-gertzejntshokom-1965-6febf37f,99.98958333333333,Abdullah Ibrahim (Anatomy of a South African Village),tintinyana,trio,train
700,Bill Evans,jtd/evansb-californiahereicome-gomezejoep-1966-03fcf9e5,59.9296875,Bill Evans (The Complete Bill Evans on Verve),california here i come,trio,train
701,John Hicks,jtd/hicksj-ummg-dolphindbrooksc-1997-0704c6cd,137.32942708333331,John Hicks (A Billy Strayhorn Songbook Something to Live For),upper manhattan medical group,trio,train
702,Ahmad Jamal,jtd/jamala-thegirlnextdoor-nasserjgantf-1965-40ce9e9a,228.80989583333331,Ahmad Jamal (Heat Wave),the girl next door,trio,train
703,Oscar Peterson,jtd/petersono-marchpast-brownrthigpene-1964-f5594c8c,99.18880208333333,Oscar Peterson (Canadiana Suite),march past,trio,train
704,Kenny Drew,jtd/drewk-takingachanceonlove-chamberspjoep-1956-e56b56fa,109.98958333333333,Kenny Drew (Kenny Drew Trio),taking a chance on love,trio,train
705,Oscar Peterson,jtd/petersono-justsqueezeme-orstednhayesl-1971-c4507866,152.5,Oscar Peterson (Great Connection),squeeze me,trio,train
706,Keith Jarrett,jtd/jarrettk-conception-peacockgdejohnettej-1999-73141b61,309.9895833333333,Keith Jarrett (Whisper Not),conception,trio,train
707,Oscar Peterson,jtd/petersono-chicago-brownrthigpene-1961-408c6864,109.98958333333333,Oscar Peterson (The London House Sessions),chicago,trio,train
708,Cedar Walton,jtd/waltonc-strayhornmedleylushlife-williamsdfarnsworthj-2006-48f4b9e4,89.98958333333333,Cedar Walton (One Flight Down),lush life,trio,train
709,Kenny Barron,jtd/barronk-theonlyone-drummondrrileyb-1996-2d0f261a,309.6497395833333,Kenny Barron (The Perfect Set),the only one,trio,train
710,Chick Corea,jtd/coreac-spain-patituccijweckld-1989-5c5694dd,52.5,Chick Corea (Chick Corea Akoustic Band),spain,trio,train
711,Bill Evans,jtd/evansb-somedaymyprincewillcome-gomezemorellm-1969-f48fa3a7,57.75911458333333,Bill Evans (Youre Gonna Hear From Me),someday my prince will come,trio,train
712,Bill Evans,jtd/evansb-emily-gomezemorellm-1969-ea48b0a5,38.6796875,Bill Evans (Youre Gonna Hear From Me),emily,trio,train
713,McCoy Tyner,jtd/tynerm-roundmidnight-sharpeascotta-1989-c2cc8b90,139.98958333333331,McCoy Tyner (Live at Sweet Basil),round midnight,trio,train
714,Bill Evans,jtd/evansb-youandthenightand-chamberspjoep-1958-f085d363,134.98307291666666,Bill Evans (Peace Piece and Other Pieces),you and the night and the music,trio,train
715,Kenny Drew,jtd/drewk-bluesville-wrightespecsc-1953-0e9a33ad,147.54947916666666,Kenny Drew (Kenny Drew and His Progressive Piano),bluesville,trio,train
716,Cedar Walton,jtd/waltonc-forallweknow-dumastpenlandr-1979-86d264bb,62.5,Cedar Walton (Charmed Circle Live at the Keystone Korner),for all we know,trio,train
717,Cedar Walton,jtd/waltonc-timeaftertime-williamsdfarnsworthj-2006-09464a3e,199.52994791666666,Cedar Walton (One Flight Down),time after time,trio,train
718,Bill Evans,jtd/evansb-oneforhelen-gomezedejohnettej-1967-94d467a6,69.98958333333333,Bill Evans (At the Montreux Jazz Festival),one for helen,trio,train
719,Bill Evans,jtd/evansb-whatkindoffoolam-israelscbunkerl-1966-bc0a1edc,152.5,Bill Evans (The Complete Bill Evans on Verve),what kind of fool am i,trio,train
720,McCoy Tyner,jtd/tynerm-lildarlin-sharpeahayesl-1986-f892ef46,169.98958333333331,McCoy Tyner (Double Trios),lil darlin,trio,train
721,Oscar Peterson,jtd/petersono-unfair-brownrthigpene-1960-f6eeeddd,96.87890625,Oscar Peterson (Oscar Peterson plays My Fair Lady and the Music from Fiorello),unfair,trio,train
722,Kenny Barron,jtd/barronk-straightnochaser-williamsbrileyb-1984-e67d83d7,177.01953125,Kenny Barron (Green Chimneys),straight no chaser,trio,train
723,Keith Jarrett,jtd/jarrettk-greendolphinstreet-peacockgdejohnettej-2001-85ffc93e,246.9296875,Keith Jarrett (My Foolish Heart Live at Montreux),green dolphin street,trio,train
724,Keith Jarrett,jtd/jarrettk-groovinhigh-peacockgdejohnettej-1999-e1344570,239.98958333333331,Keith Jarrett (Whisper Not),whispering,trio,train
725,Tommy Flanagan,jtd/flanagant-loveyoumadly-washingtonpnashl-1993-eb062e35,99.98958333333333,Tommy Flanagan (Lady Be Good  for Ella),i got rhythm,trio,train
726,John Hicks,jtd/hicksj-sweetandlovely-dolphindbrooksc-2003-e92e9bc2,129.43880208333331,John Hicks (Fathas Day An Earl Hines Songbook),sweet and lovely,trio,train
727,Bill Evans,jtd/evansb-theopener-gomezezigmunde-1974-b7377fd1,39.98958333333333,Bill Evans (Complete Fantasy Recordings),the opener,trio,train
728,Kenny Drew,jtd/drewk-itcouldhappentoyou-rstedntootiea-1974-d1070a8a,186.02994791666666,Kenny Drew (Dark Beauty),it could happen to you,trio,train
729,Keith Jarrett,jtd/jarrettk-tonight-peacockgdejohnettej-2009-d6d025cf,229.98958333333331,Keith Jarrett (Somewhere),tonight,trio,train
730,Oscar Peterson,jtd/petersono-moanin-brownrthigpene-1965-314fe57f,109.98958333333333,Oscar Peterson (Eloquence),moanin,trio,train
731,Oscar Peterson,jtd/petersono-justfriends-mrazgpricer-1970-93a978bb,59.93880208333333,Oscar Peterson (Walking The Line),just friends,trio,train
732,Oscar Peterson,jtd/petersono-allofyou-mrazgpricer-1970-7ebdc5e1,139.98958333333331,Oscar Peterson (Walking The Line),all of you,trio,train
733,Thelonious Monk,jtd/monkt-work-heathpblakeya-1952-fde04dc5,89.98958333333333,Thelonious Monk (Four in One),work,trio,train
734,Gene Harris,jtd/brownr-exactlylikeyou-harrisgkingg-1984-d4a69949,99.98958333333333,Gene Harris (The Best of the Concord Years),exactly like you,trio,train
735,Bill Evans,jtd/evansb-heresthatrainyday-gomezemorellm-1968-c71d8bc5,49.98958333333333,Bill Evans (Live at Art DLugoffs Top of the Gate),heres that rainy day,trio,train
736,Bill Evans,jtd/evansb-makesomeonehappy-israelscbunkerl-1966-7f04a724,98.96875,Bill Evans (The Complete Bill Evans on Verve),make someone happy,trio,train
737,Keith Jarrett,jtd/jarrettk-thewayyoulooktonight-peacockgdejohnettej-1985-ee763978,199.98958333333331,Keith Jarrett (Standards Live),the way you look tonight,trio,train
738,Keith Jarrett,jtd/jarrettk-byebyeblackbird-peacockgmotianp-1992-a2b64c05,257.0989583333333,Keith Jarrett (At the Deer Head Inn),bye bye blackbird,trio,train
739,Bill Evans,jtd/evansb-yetneerbroken-johnsonmlabarberaj-1980-01d86ce9,49.98958333333333,Bill Evans (The Last Waltz),yet neer broken,trio,train
740,Cedar Walton,jtd/waltonc-beautifullove-williamsbjonesw-2010-1c47cab9,136.68880208333331,Cedar Walton (Song of Delilah  The Music of Victor Young),beautiful love,trio,train
741,Tommy Flanagan,jtd/flanagant-illwind-mrazgkayc-1977-70762f79,172.5,Tommy Flanagan (Plays the Music of Harold Arlen),ill wind,trio,train
742,Tommy Flanagan,jtd/flanagant-denzilsbest-mrazgjonese-1976-b4be29dc,102.5,Tommy Flanagan (Eclypso),denzils best,trio,train
743,Ahmad Jamal,jtd/jamala-whispernot-nasserjfournierv-1965-dc92588c,78.99348958333333,Ahmad Jamal (Extensions),whisper not,trio,train
744,Thelonious Monk,jtd/monkt-aprilinparis-rameygblakeya-1949-c50b1c36,109.98958333333333,Thelonious Monk (The Complete Genius),april in paris,trio,train
745,Ahmad Jamal,jtd/jamala-thefantasticvehicle-nasserjgantf-1965-eec1da81,78.16927083333333,Ahmad Jamal (Heat Wave),the fantastic vehicle,trio,train
746,Bill Evans,jtd/evansb-perisscope-lafarosmotianp-1961-1d09ff52,129.98958333333331,Bill Evans (The Complete Riverside Recordings),peris scope,trio,train
747,McCoy Tyner,jtd/tynerm-olddevilmoon-grimeshhaynesr-1963-69b7b595,239.98958333333331,McCoy Tyner (Reaching Fourth),old devil moon,trio,train
748,Teddy Wilson,jtd/wilsont-honeysucklerose-holleymdahlandern-1959-dfee28a5,37.91927083333333,Teddy Wilson (And Then They Wrote),honeysuckle rose,trio,train
749,Bill Evans,jtd/evansb-myromance-johnsonmlabarberaj-1980-51f7bff7,36.459635416666664,Bill Evans (Consecration),my romance,trio,train
750,Cedar Walton,jtd/waltonc-shinystockings-lewishhigginsb-1973-1566af45,119.93880208333333,Cedar Walton (Three Sundays in the Seventies Live at the Left Bank),shiny stockings,trio,train
751,Bill Evans,jtd/evansb-emily-gomezemorellm-1973-bff2fd47,49.89973958333333,Bill Evans (Live In Paris 1972 Vol 3),emily,trio,train
752,Bill Evans,jtd/evansb-makesomeonehappy-israelscwisea-1965-1863fd83,89.98958333333333,Bill Evans (Bill Evans at Town Hall Volume 1),make someone happy,trio,train
753,McCoy Tyner,jtd/tynerm-inception-davisajonese-1962-55301fb7,122.5,McCoy Tyner (Inception  Reaching Fourth),inception,trio,train
754,John Hicks,jtd/hicksj-thereisnogreaterlove-drummondrsmittym-1993-52e6c99d,218.0,John Hicks (Beyond Expectations),no greater love,trio,train
755,Hank Jones,jtd/hollandd-jacobsladder-joneshhigginsb-1989-38026d54,129.98958333333331,Hank Jones (The Oracle),jacobs ladder,trio,train
756,Bill Evans,jtd/evansb-howaboutyou-gomezedejohnettej-1967-597be228,69.98958333333333,Bill Evans (Some Other Time The Lost Session From the Black Forest),how about you,trio,train
757,Thelonious Monk,jtd/monkt-teafortwo-orejdunlopf-1966-d0c4f11c,119.81901041666666,Thelonious Monk (The Essential Thelonious Monk),tea for two,trio,train
758,Bill Evans,jtd/evansb-upwiththelark-johnsonmlabarberaj-1980-a2bb66b1,87.62890625,Bill Evans (Consecration),up with the lark,trio,train
759,Bill Evans,jtd/evansb-whatisthisthingcalled-israelscbunkerl-1961-8a127c18,47.82942708333333,Bill Evans (The Complete Riverside Recordings),what is this thing called love,trio,train
760,Keith Jarrett,jtd/jarrettk-thesongisyou-peacockgdejohnettej-1986-c7d5028b,69.98958333333333,Keith Jarrett (Still Live),the song is you,trio,train
761,Ahmad Jamal,jtd/jamala-aprilinparis-crosbyifournierv-1961-35b9237b,106.83984375,Ahmad Jamal (Ahmad Jamal at the Blackhawk),april in paris,trio,train
762,Bill Evans,jtd/evansb-thetouchofyourlips-israelscbunkerl-1966-8e554b8a,47.55989583333333,Bill Evans (The Complete Bill Evans on Verve),the touch of your lips,trio,train
763,Bill Evans,jtd/evansb-upwiththelark-johnsonmlabarberaj-1980-476e4749,48.9296875,Bill Evans (The Last Waltz),up with the lark,trio,train
764,Hank Jones,jtd/hollandd-yesterdays-joneshhigginsb-1989-126bab92,109.98958333333333,Hank Jones (The Oracle),yesterdays,trio,train
765,Thelonious Monk,jtd/monkt-hackensack-mckibbonablakeya-1971-6cdce48c,219.84895833333331,Thelonious Monk (The Complete Black Lion and Vogue Recordings of Thelonious Monk),oh lady be good,trio,train
766,Cedar Walton,jtd/waltonc-thetheme-williamsdhigginsb-1992-7b76b048,128.64973958333331,Cedar Walton (Manhattan Afternoon),i got rhythm,trio,train
767,Oscar Peterson,jtd/petersono-thesongisyou-brownrthigpene-1959-75dc6c68,99.98958333333333,Oscar Peterson (Oscar Peterson Plays the Jerome Kern Songbook),the song is you,trio,train
768,Bill Evans,jtd/evansb-dolphindance-gomezezigmunde-1975-88b120ad,89.98958333333333,Bill Evans (Complete Fantasy Recordings),dolphin dance,trio,train
769,Bill Evans,jtd/evansb-gloriasstep-gomezemorellm-1974-b0963cd3,109.98958333333333,Bill Evans (Complete Fantasy Recordings),glorias step,trio,train
770,Junior Mance,jtd/mancej-goodbait-thompsondalleynea-1997-d4b26a19,187.0,Junior Mance (Milestones),i got rhythm,trio,train
771,Bill Evans,jtd/evansb-thetouchofyourlips-johnsonmlabarberaj-1980-86381970,149.98958333333331,Bill Evans (The Last Waltz),the touch of your lips,trio,train
772,Kenny Drew,jtd/drewk-stellabystarlight-russellcblakeya-1951-e9851153,59.98958333333333,Kenny Drew (Howard McGhee  Introducing The Kenny Drew Trio),stella by starlight,trio,train
773,Bill Evans,jtd/evansb-turnoutthestars-gomezemorellm-1972-043616fc,59.98958333333333,Bill Evans (Momentum),turn out the stars,trio,train
774,Kenny Barron,jtd/barronk-imeanyou-carterrcobhamb-2003-689d29d1,189.359375,Kenny Barron (Live in Japan 2003),i mean you,trio,train
775,Keith Jarrett,jtd/jarrettk-hallucinations-peacockgdejohnettej-1999-d37c9542,209.88932291666666,Keith Jarrett (Whisper Not),hallucinations,trio,train
776,Oscar Peterson,jtd/petersono-diablo-brownrthigpene-1961-8366cd75,98.05989583333333,Oscar Peterson (The London House Sessions),diablo,trio,train
777,Kenny Drew,jtd/drewk-astrangerinparadise-rstedntootiea-1974-d131cfe3,129.98958333333331,Kenny Drew (If You Could See Me Now),a stranger in paradise,trio,train
778,Keith Jarrett,jtd/jarrettk-solar-peacockgdejohnettej-1993-eb096c1a,366.87890625,Keith Jarrett (Live at Open Theater East),solar,trio,train
779,Bill Evans,jtd/evansb-oneforhelen-israelscwisea-1966-0e18f7fd,36.9296875,Bill Evans (The Complete Bill Evans on Verve),one for helen,trio,train
780,Bill Evans,jtd/evansb-sugarplum-gomezemorellm-1969-1788ff32,42.5,Bill Evans (A Jazz Hour With Bill Evans Autumn Leaves),sugarplum,trio,train
781,Bill Evans,jtd/evansb-myromance-johnsonmlabarberaj-1980-59af3186,39.01953125,Bill Evans (Consecration),my romance,trio,train
782,Oscar Peterson,jtd/petersono-bluesetude-jonesshayesl-1966-d6296682,109.98958333333333,Oscar Peterson (Blues Etude),blues etude,trio,train
783,McCoy Tyner,jtd/tynerm-bluesforball-gomezedejohnettej-1977-743a9669,139.98958333333331,McCoy Tyner (Supertrios),blues for ball,trio,train
784,Bill Evans,jtd/evansb-beautifullove-gomezemorellm-1975-1e895ca0,79.75,Bill Evans (My Foolish Heart),beautiful love,trio,train
785,Kenny Barron,jtd/barronk-iveneverbeeninlove-mrazgrileyb-2009-3949b9be,122.5,Kenny Barron (Minor Blues),ive never been in love before,trio,train
786,Junior Mance,jtd/mancej-worksong-thompsondalleynea-1997-0e328835,269.8098958333333,Junior Mance (Milestones),work song,trio,train
787,Bill Evans,jtd/evansb-allofyou-gomezezigmunde-1976-acbb08b7,126.41927083333333,Bill Evans (The Paris Concert),all of you,trio,train
788,Kenny Drew,jtd/drewk-happyhuntinghorn-warewjoep-1957-f1b5a168,139.11979166666666,Kenny Drew (Pal Joey),happy hunting horn,trio,train
789,Ahmad Jamal,jtd/jamala-youremyeverything-nasserjgantf-1970-617a2353,159.82942708333331,Ahmad Jamal (The Awakening),youre my everything,trio,train
790,Kenny Drew,jtd/drewk-loveletters-rstedntootiea-1974-a4d524ba,129.96875,Kenny Drew (Dark Beauty),love letter,trio,train
791,Oscar Peterson,jtd/petersono-hallelujahtrail-orstednhannaj-1974-4c9b666d,39.98958333333333,Oscar Peterson (Oscar Peterson in Russia),hallelujah trail,trio,train
792,Kenny Barron,jtd/barronk-myonesininlife-reidrwaitsf-1984-30895614,119.98958333333333,Kenny Barron (New York Attitude),my one sin in life,trio,train
793,Tommy Flanagan,jtd/flanagant-scratch-lundgaardjnashl-1993-494254c5,49.39973958333333,Tommy Flanagan (Lets Play the Music of Thad Jones),scratch,trio,train
794,Cedar Walton,jtd/waltonc-modeforjoe-williamsdhigginsb-1986-a29122e5,89.98958333333333,Cedar Walton (Up Front),mode for joe,trio,train
795,Tommy Flanagan,jtd/flanagant-smoothsailing-washingtonpnashl-1993-0a1cbcba,89.98958333333333,Tommy Flanagan (Lady Be Good  for Ella),smooth sailing,trio,train
796,Keith Jarrett,jtd/jarrettk-woodynyou-peacockgdejohnettej-1990-9c985c92,197.89973958333331,Keith Jarrett (The Cure),woodyn you,trio,train
797,Bill Evans,jtd/evansb-milestones-lafarosmotianp-1961-a062c61a,149.98958333333331,Bill Evans (12 Classic Albums 1956  1962),milestones,trio,train
798,Stanley Cowell,jtd/cowells-celia-mcclurercopelandk-1989-e0a577f6,199.75911458333331,Stanley Cowell (Sienna),i got rhythm,trio,train
799,Ahmad Jamal,jtd/jamala-poorbutterfly-crosbyifournierv-1958-94f90cba,52.5,Ahmad Jamal (Complete Live at the Pershing Lounge 1958),poor butterfly,trio,train
800,Cedar Walton,jtd/brownr-somethingincommon-waltoncjonese-1977-fa75db3b,79.98958333333333,Cedar Walton (Something for Lester),something in common,trio,train
801,Brad Mehldau,jtd/mehldaub-cta-grenadierlballardj-2006-9cdbc460,427.9296875,Brad Mehldau (Brad Mehldau Trio Live),i got rhythm,trio,train
802,McCoy Tyner,jtd/tynerm-vibrationblues-lewishwaitsf-1969-90bbb979,199.71875,McCoy Tyner (Cosmos),vibration blues,trio,train
803,Bill Evans,jtd/evansb-turnoutthestars-johnsonmlabarberaj-1980-c9ebbb22,99.98958333333333,Bill Evans (Consecration),turn out the stars,trio,train
804,Gene Harris,jtd/brownr-jada-harrisghamiltonj-1991-715d67dd,66.7890625,Gene Harris (3 Dimensional),jada,trio,train
805,Keith Jarrett,jtd/jarrettk-autumnleaves-peacockgdejohnettej-1996-b7c8a2ad,258.86979166666663,Keith Jarrett (Tokyo 96),autumn leaves,trio,train
806,Ahmad Jamal,jtd/jamala-likesomeoneinlove-nasserjfournierv-1966-c56d6b55,49.859375,Ahmad Jamal (Emerald City Nights Live At The Penthouse 19651966),like someone in love,trio,train
807,Bill Evans,jtd/evansb-youandthenightand-johnsonmlabarberaj-1980-3ae60add,138.69921875,Bill Evans (Consecration),you and the night and the music,trio,train
808,Bill Evans,jtd/evansb-billshittune-johnsonmlabarberaj-1980-0f9d3126,79.51953125,Bill Evans (His Last Concert in Germany),bills hit tune,trio,train
809,Gene Harris,jtd/brownr-thingsaintwhattheyused-harrisghamiltonj-1989-5e0e24a1,176.37890625,Gene Harris (Black Orpheus),things aint what they used to be,trio,train
810,Chick Corea,jtd/coreac-offthecuff-gomezemotianp-2010-92201520,129.98958333333331,Chick Corea (Further Explorations),its you or no one,trio,train
811,Bill Evans,jtd/evansb-asleepinbee-johnsonmlabarberaj-1980-5017b6c7,39.98958333333333,Bill Evans (Turn Out the Stars The Final Village Vanguard Sessions),sleepin bee,trio,train
812,Bill Evans,jtd/evansb-deedido-israelscbunkerl-1966-08462a7b,39.98958333333333,Bill Evans (The Complete Bill Evans on Verve),deed i do,trio,train
813,Kenny Drew,jtd/drewk-inyourownsweetway-rstedntootiea-1974-04183a60,139.98958333333331,Kenny Drew (If You Could See Me Now),in your own sweet way,trio,train
814,McCoy Tyner,jtd/tynerm-upgainstthewall-sharpeascotta-1991-ad91193c,159.98958333333331,McCoy Tyner (Remembering John),up gainst the wall,trio,train
815,Cedar Walton,jtd/waltonc-offminor-williamsdhigginsb-1985-fc98bff7,329.9895833333333,Cedar Walton (The Trio Volume 2),off minor,trio,train
816,McCoy Tyner,jtd/tynerm-yousteppedoutofa-sharpeahayesl-1987-2b853f34,98.69921875,McCoy Tyner (Bon Voyage),you stepped out of a dream,trio,train
817,Bill Evans,jtd/evansb-five-gomezedejohnettej-1967-e3a24b59,32.5,Bill Evans (Another Time  The Hilversum Concert),five,trio,train
818,Hank Jones,jtd/jonesh-alansallies-duviviergdawsona-1978-5bcff2d1,66.95182291666666,Hank Jones (Compassion),alans allies,trio,train
819,Keith Jarrett,jtd/jarrettk-basinstreetblues-peacockgdejohnettej-1993-486d09c2,49.819010416666664,Keith Jarrett (Live at Open Theater East),basin street blues,trio,train
820,Bill Evans,jtd/evansb-whocaniturnto-gomezemorellm-1972-4e94efd3,38.729166666666664,Bill Evans (Momentum),who can i turn to,trio,train
821,Keith Jarrett,jtd/jarrettk-momentsnotice-peacockgdejohnettej-1998-357ce0e7,109.98958333333333,Keith Jarrett (After the Fall),moments notice,trio,train
822,Abdullah Ibrahim,jtd/ibrahima-duke88-mclaurinemag-1995-cd8a1390,48.96875,Abdullah Ibrahim (Yarona),duke,trio,train
823,Oscar Peterson,jtd/petersono-backhomeagaininindiana-kingawilkinsonm-1947-b0e03bf2,58.998697916666664,Oscar Peterson (The Best of Oscar Peterson Trio),back home again in indiana,trio,train
824,Oscar Peterson,jtd/petersono-tangerine-brownrthigpene-1964-73f267b6,118.90885416666666,Oscar Peterson (Affinity),tangerine,trio,train
825,McCoy Tyner,jtd/tynerm-thesurreywiththefringe-lewishwaitsf-1968-98842237,209.98958333333331,McCoy Tyner (Time for Tyner),surrey with the fringe on top,trio,train
826,Cedar Walton,jtd/waltonc-ididntknowwhattime-dumastpenlandr-1979-28cbeeb4,189.79947916666666,Cedar Walton (Charmed Circle Live at the Keystone Korner),i didnt know what time it was,trio,train
