,pianist,track,duration,album,composition,setting,split
672,John Hicks,jtd/hicksj-darksidelightside-bookerwmuhammadi-1981-42071967,225.21875,John Hicks (Some Other Time),darkside lightside,trio,train
673,Oscar Peterson,jtd/petersono-teachmetonight-mrazgpricer-1970-e6cb5958,166.91927083333331,Oscar Peterson (Two Originals Walking the Line  Another Day),teach me tonight,trio,train
674,Ahmad Jamal,jtd/jamala-thebestthingforyou-crosbyifournierv-1960-028a8bd8,77.82942708333333,Ahmad Jamal (The Complete Ahmad Jamal Trio Argo Sessions 195662),the best thing for you,trio,train
675,Oscar Peterson,jtd/petersono-onthetrail-orstednhayesl-1971-c7d26577,69.98958333333333,Oscar Peterson (Great Connection),on the trail,trio,train
676,Tommy Flanagan,jtd/flanagant-outofthisworld-mrazgkayc-1977-dc958c18,158.70963541666666,Tommy Flanagan (Plays the Music of Harold Arlen),out of this world,trio,train
677,Bill Evans,jtd/evansb-inasentimentalmood-gomezedejohnettej-1967-f0f5dfc0,59.98958333333333,Bill Evans (Some Other Time The Lost Session From the Black Forest),in a sentimental mood,trio,train
678,Ahmad Jamal,jtd/jamala-aprilinparis-crosbyifournierv-1960-b5159e62,108.52994791666666,Ahmad Jamal (The Complete Ahmad Jamal Trio Argo Sessions 195662),april in paris,trio,train
679,Bill Evans,jtd/evansb-californiahereicome-gomezejoep-1966-03fcf9e5,59.9296875,Bill Evans (The Complete Bill Evans on Verve),california here i come,trio,train
680,John Hicks,jtd/hicksj-ummg-dolphindbrooksc-1997-0704c6cd,137.32942708333331,John Hicks (A Billy Strayhorn Songbook Something to Live For),upper manhattan medical group,trio,train
681,Ahmad Jamal,jtd/jamala-thegirlnextdoor-nasserjgantf-1965-40ce9e9a,228.80989583333331,Ahmad Jamal (Heat Wave),the girl next door,trio,train
682,Kenny Drew,jtd/drewk-takingachanceonlove-chamberspjoep-1956-e56b56fa,109.98958333333333,Kenny Drew (Kenny Drew Trio),taking a chance on love,trio,train
683,Bill Evans,jtd/evansb-waltzfordebby-gomezemorellm-1974-9b89daf6,79.98958333333333,Bill Evans (Live in Europe II),waltz for debby,trio,train
684,Oscar Peterson,jtd/petersono-justsqueezeme-orstednhayesl-1971-c4507866,152.5,Oscar Peterson (Great Connection),squeeze me,trio,train
685,Keith Jarrett,jtd/jarrettk-conception-peacockgdejohnettej-1999-73141b61,309.9895833333333,Keith Jarrett (Whisper Not),conception,trio,train
686,Oscar Peterson,jtd/petersono-chicago-brownrthigpene-1961-408c6864,109.98958333333333,Oscar Peterson (The London House Sessions),chicago,trio,train
687,Kenny Barron,jtd/barronk-theonlyone-drummondrrileyb-1996-2d0f261a,309.6497395833333,Kenny Barron (The Perfect Set),the only one,trio,train
688,Chick Corea,jtd/coreac-spain-patituccijweckld-1989-5c5694dd,52.5,Chick Corea (Chick Corea Akoustic Band),spain,trio,train
689,Bill Evans,jtd/evansb-somedaymyprincewillcome-gomezemorellm-1969-f48fa3a7,57.75911458333333,Bill Evans (Youre Gonna Hear From Me),someday my prince will come,trio,train
690,Hank Jones,jtd/jonesh-arrival-hollanddcopelandk-1989-e6947cf9,119.98958333333333,Hank Jones (The Touch),arrival,trio,train
691,Bill Evans,jtd/evansb-emily-gomezemorellm-1969-ea48b0a5,38.6796875,Bill Evans (Youre Gonna Hear From Me),emily,trio,train
692,Oscar Peterson,jtd/petersono-allofme-brownrthigpene-1959-a5c47a7e,116.76953125,Oscar Peterson (A Jazz Portrait of Frank Sinatra),all of me,trio,train
693,McCoy Tyner,jtd/tynerm-roundmidnight-sharpeascotta-1989-c2cc8b90,139.98958333333331,McCoy Tyner (Live at Sweet Basil),round midnight,trio,train
694,Bill Evans,jtd/evansb-youandthenightand-chamberspjoep-1958-f085d363,134.98307291666666,Bill Evans (Peace Piece and Other Pieces),you and the night and the music,trio,train
695,Kenny Drew,jtd/drewk-bluesville-wrightespecsc-1953-0e9a33ad,147.54947916666666,Kenny Drew (Kenny Drew and His Progressive Piano),bluesville,trio,train
696,Chick Corea,jtd/coreac-bessiesblues-patituccijweckld-1989-a90b01bb,76.51953125,Chick Corea (Chick Corea Akoustic Band),bessies blues,trio,train
697,John Hicks,jtd/hicksj-minorblues-dolphindbrooksc-1997-1fdd8048,109.98958333333333,John Hicks (A Billy Strayhorn Songbook Something to Live For),minor blues,trio,train
698,Cedar Walton,jtd/waltonc-forallweknow-dumastpenlandr-1979-86d264bb,62.5,Cedar Walton (Charmed Circle Live at the Keystone Korner),for all we know,trio,train
699,Bill Evans,jtd/evansb-oneforhelen-gomezedejohnettej-1967-94d467a6,69.98958333333333,Bill Evans (At the Montreux Jazz Festival),one for helen,trio,train
700,Bill Evans,jtd/evansb-whatkindoffoolam-israelscbunkerl-1966-bc0a1edc,152.5,Bill Evans (The Complete Bill Evans on Verve),what kind of fool am i,trio,train
701,Oscar Peterson,jtd/petersono-unfair-brownrthigpene-1960-f6eeeddd,96.87890625,Oscar Peterson (Oscar Peterson plays My Fair Lady and the Music from Fiorello),unfair,trio,train
702,Ahmad Jamal,jtd/jamala-raincheck-crosbyifournierv-1960-30cd5578,195.65885416666666,Ahmad Jamal (Ahmad Jamal Eight Classic Albums),raincheck,trio,train
703,Kenny Barron,jtd/barronk-straightnochaser-williamsbrileyb-1984-e67d83d7,177.01953125,Kenny Barron (Green Chimneys),straight no chaser,trio,train
704,Keith Jarrett,jtd/jarrettk-greendolphinstreet-peacockgdejohnettej-2001-85ffc93e,246.9296875,Keith Jarrett (My Foolish Heart Live at Montreux),green dolphin street,trio,train
705,Keith Jarrett,jtd/jarrettk-groovinhigh-peacockgdejohnettej-1999-e1344570,239.98958333333331,Keith Jarrett (Whisper Not),whispering,trio,train
706,Tommy Flanagan,jtd/flanagant-loveyoumadly-washingtonpnashl-1993-eb062e35,99.98958333333333,Tommy Flanagan (Lady Be Good  for Ella),i got rhythm,trio,train
707,Oscar Peterson,jtd/petersono-motenswing-brownrthigpene-1962-4b417e2e,89.98958333333333,Oscar Peterson (Night Train),youre driving me crazy,trio,train
708,John Hicks,jtd/hicksj-sweetandlovely-dolphindbrooksc-2003-e92e9bc2,129.43880208333331,John Hicks (Fathas Day An Earl Hines Songbook),sweet and lovely,trio,train
709,Bill Evans,jtd/evansb-theopener-gomezezigmunde-1974-b7377fd1,39.98958333333333,Bill Evans (Complete Fantasy Recordings),the opener,trio,train
710,Kenny Drew,jtd/drewk-itcouldhappentoyou-rstedntootiea-1974-d1070a8a,186.02994791666666,Kenny Drew (Dark Beauty),it could happen to you,trio,train
711,Keith Jarrett,jtd/jarrettk-tonight-peacockgdejohnettej-2009-d6d025cf,229.98958333333331,Keith Jarrett (Somewhere),tonight,trio,train
712,Oscar Peterson,jtd/petersono-justfriends-mrazgpricer-1970-93a978bb,59.93880208333333,Oscar Peterson (Walking The Line),just friends,trio,train
713,Oscar Peterson,jtd/petersono-allofyou-mrazgpricer-1970-7ebdc5e1,139.98958333333331,Oscar Peterson (Walking The Line),all of you,trio,train
714,Bill Evans,jtd/evansb-heresthatrainyday-gomezemorellm-1968-c71d8bc5,49.98958333333333,Bill Evans (Live at Art DLugoffs Top of the Gate),heres that rainy day,trio,train
715,Bill Evans,jtd/evansb-makesomeonehappy-israelscbunkerl-1966-7f04a724,98.96875,Bill Evans (The Complete Bill Evans on Verve),make someone happy,trio,train
716,McCoy Tyner,jtd/tynerm-willyoustillbemine-clarkesfostera-1999-874ae1c0,159.76953125,McCoy Tyner (McCoy Tyner with Stanley Clarke and Al Foster),will you still be mine,trio,train
717,Bill Evans,jtd/evansb-yetneerbroken-johnsonmlabarberaj-1980-01d86ce9,49.98958333333333,Bill Evans (The Last Waltz),yet neer broken,trio,train
718,Cedar Walton,jtd/waltonc-beautifullove-williamsbjonesw-2010-1c47cab9,136.68880208333331,Cedar Walton (Song of Delilah  The Music of Victor Young),beautiful love,trio,train
719,Tommy Flanagan,jtd/flanagant-illwind-mrazgkayc-1977-70762f79,172.5,Tommy Flanagan (Plays the Music of Harold Arlen),ill wind,trio,train
720,Tommy Flanagan,jtd/flanagant-denzilsbest-mrazgjonese-1976-b4be29dc,102.5,Tommy Flanagan (Eclypso),denzils best,trio,train
721,Ahmad Jamal,jtd/jamala-whispernot-nasserjfournierv-1965-dc92588c,78.99348958333333,Ahmad Jamal (Extensions),whisper not,trio,train
722,Thelonious Monk,jtd/monkt-aprilinparis-rameygblakeya-1949-c50b1c36,109.98958333333333,Thelonious Monk (The Complete Genius),april in paris,trio,train
723,Ahmad Jamal,jtd/jamala-thefantasticvehicle-nasserjgantf-1965-eec1da81,78.16927083333333,Ahmad Jamal (Heat Wave),the fantastic vehicle,trio,train
724,Bill Evans,jtd/evansb-perisscope-lafarosmotianp-1961-1d09ff52,129.98958333333331,Bill Evans (The Complete Riverside Recordings),peris scope,trio,train
725,McCoy Tyner,jtd/tynerm-iwanttotalkabout-mrazgfostera-1997-aecc95af,49.58984375,McCoy Tyner (McCoy Tyner plays John Coltrane Live at the Village Vanguard),i want to talk about you,trio,train
726,Bill Evans,jtd/evansb-myromance-johnsonmlabarberaj-1980-51f7bff7,36.459635416666664,Bill Evans (Consecration),my romance,trio,train
727,John Hicks,jtd/hicksj-flylittlebirdfly-williamsbhayesl-2006-e3e5bd4a,149.59895833333331,John Hicks (On the Wings of an Eagle),fly little bird fly,trio,train
728,Cedar Walton,jtd/waltonc-shinystockings-lewishhigginsb-1973-1566af45,119.93880208333333,Cedar Walton (Three Sundays in the Seventies Live at the Left Bank),shiny stockings,trio,train
729,Bill Evans,jtd/evansb-emily-gomezemorellm-1973-bff2fd47,49.89973958333333,Bill Evans (Live In Paris 1972 Vol 3),emily,trio,train
730,McCoy Tyner,jtd/tynerm-inception-davisajonese-1962-55301fb7,122.5,McCoy Tyner (Inception  Reaching Fourth),inception,trio,train
731,John Hicks,jtd/hicksj-thereisnogreaterlove-drummondrsmittym-1993-52e6c99d,218.0,John Hicks (Beyond Expectations),no greater love,trio,train
732,Hank Jones,jtd/hollandd-jacobsladder-joneshhigginsb-1989-38026d54,129.98958333333331,Hank Jones (The Oracle),jacobs ladder,trio,train
733,Bill Evans,jtd/evansb-howaboutyou-gomezedejohnettej-1967-597be228,69.98958333333333,Bill Evans (Some Other Time The Lost Session From the Black Forest),how about you,trio,train
734,Bill Evans,jtd/evansb-upwiththelark-johnsonmlabarberaj-1980-a2bb66b1,87.62890625,Bill Evans (Consecration),up with the lark,trio,train
735,Bill Evans,jtd/evansb-whatisthisthingcalled-israelscbunkerl-1961-8a127c18,47.82942708333333,Bill Evans (The Complete Riverside Recordings),what is this thing called love,trio,train
736,Ahmad Jamal,jtd/jamala-aprilinparis-crosbyifournierv-1961-35b9237b,106.83984375,Ahmad Jamal (Ahmad Jamal at the Blackhawk),april in paris,trio,train
737,Bill Evans,jtd/evansb-thetouchofyourlips-israelscbunkerl-1966-8e554b8a,47.55989583333333,Bill Evans (The Complete Bill Evans on Verve),the touch of your lips,trio,train
738,Bill Evans,jtd/evansb-upwiththelark-johnsonmlabarberaj-1980-476e4749,48.9296875,Bill Evans (The Last Waltz),up with the lark,trio,train
739,Hank Jones,jtd/hollandd-yesterdays-joneshhigginsb-1989-126bab92,109.98958333333333,Hank Jones (The Oracle),yesterdays,trio,train
740,Thelonious Monk,jtd/monkt-hackensack-mckibbonablakeya-1971-6cdce48c,219.84895833333331,Thelonious Monk (The Complete Black Lion and Vogue Recordings of Thelonious Monk),oh lady be good,trio,train
741,Cedar Walton,jtd/waltonc-thetheme-williamsdhigginsb-1992-7b76b048,128.64973958333331,Cedar Walton (Manhattan Afternoon),i got rhythm,trio,train
742,Bill Evans,jtd/evansb-dolphindance-gomezezigmunde-1975-88b120ad,89.98958333333333,Bill Evans (Complete Fantasy Recordings),dolphin dance,trio,train
743,Bill Evans,jtd/evansb-gloriasstep-gomezemorellm-1974-b0963cd3,109.98958333333333,Bill Evans (Complete Fantasy Recordings),glorias step,trio,train
744,Junior Mance,jtd/mancej-goodbait-thompsondalleynea-1997-d4b26a19,187.0,Junior Mance (Milestones),i got rhythm,trio,train
745,Bill Evans,jtd/evansb-thetouchofyourlips-johnsonmlabarberaj-1980-86381970,149.98958333333331,Bill Evans (The Last Waltz),the touch of your lips,trio,train
746,Hank Jones,jtd/jonesh-rockininrhythm-brownrsmithj-1989-6f5e62d3,109.98958333333333,Hank Jones (The Touch),rockin in rhythm,trio,train
747,Kenny Drew,jtd/drewk-stellabystarlight-russellcblakeya-1951-e9851153,59.98958333333333,Kenny Drew (Howard McGhee  Introducing The Kenny Drew Trio),stella by starlight,trio,train
748,Bill Evans,jtd/evansb-turnoutthestars-gomezemorellm-1972-043616fc,59.98958333333333,Bill Evans (Momentum),turn out the stars,trio,train
749,Kenny Barron,jtd/barronk-imeanyou-carterrcobhamb-2003-689d29d1,189.359375,Kenny Barron (Live in Japan 2003),i mean you,trio,train
750,John Hicks,jtd/hicksj-tedsdelight-lundycmuhammadi-1987-b6c8d3b2,168.86979166666666,John Hicks (Ill Give You Something to Remember Me By),teds delight,trio,train
751,Keith Jarrett,jtd/jarrettk-hallucinations-peacockgdejohnettej-1999-d37c9542,209.88932291666666,Keith Jarrett (Whisper Not),hallucinations,trio,train
752,Oscar Peterson,jtd/petersono-diablo-brownrthigpene-1961-8366cd75,98.05989583333333,Oscar Peterson (The London House Sessions),diablo,trio,train
753,Kenny Drew,jtd/drewk-astrangerinparadise-rstedntootiea-1974-d131cfe3,129.98958333333331,Kenny Drew (If You Could See Me Now),a stranger in paradise,trio,train
754,Keith Jarrett,jtd/jarrettk-solar-peacockgdejohnettej-1993-eb096c1a,366.87890625,Keith Jarrett (Live at Open Theater East),solar,trio,train
755,John Hicks,jtd/hicksj-timesslimes-mrazgmuhammadi-1997-4d31365f,179.72916666666666,John Hicks (Newklear Music),times slimes,trio,train
756,Bill Evans,jtd/evansb-oneforhelen-israelscwisea-1966-0e18f7fd,36.9296875,Bill Evans (The Complete Bill Evans on Verve),one for helen,trio,train
757,Bill Evans,jtd/evansb-sugarplum-gomezemorellm-1969-1788ff32,42.5,Bill Evans (A Jazz Hour With Bill Evans Autumn Leaves),sugarplum,trio,train
758,Bill Evans,jtd/evansb-myromance-johnsonmlabarberaj-1980-59af3186,39.01953125,Bill Evans (Consecration),my romance,trio,train
759,Oscar Peterson,jtd/petersono-bluesetude-jonesshayesl-1966-d6296682,109.98958333333333,Oscar Peterson (Blues Etude),blues etude,trio,train
760,McCoy Tyner,jtd/tynerm-bluesforball-gomezedejohnettej-1977-743a9669,139.98958333333331,McCoy Tyner (Supertrios),blues for ball,trio,train
761,Kenny Barron,jtd/barronk-iveneverbeeninlove-mrazgrileyb-2009-3949b9be,122.5,Kenny Barron (Minor Blues),ive never been in love before,trio,train
762,Junior Mance,jtd/mancej-worksong-thompsondalleynea-1997-0e328835,269.8098958333333,Junior Mance (Milestones),work song,trio,train
763,Tommy Flanagan,jtd/flanagant-cupbearers-mrazgjonese-1978-60337e53,108.09895833333333,Tommy Flanagan (Confirmation),cup bearers,trio,train
764,Kenny Drew,jtd/drewk-happyhuntinghorn-warewjoep-1957-f1b5a168,139.11979166666666,Kenny Drew (Pal Joey),happy hunting horn,trio,train
765,Kenny Drew,jtd/drewk-loveletters-rstedntootiea-1974-a4d524ba,129.96875,Kenny Drew (Dark Beauty),love letter,trio,train
766,McCoy Tyner,jtd/tynerm-lazybird-davissjonese-1962-09dff582,94.0,McCoy Tyner (Inception  Reaching Fourth),lazy bird,trio,train
767,Kenny Barron,jtd/barronk-myonesininlife-reidrwaitsf-1984-30895614,119.98958333333333,Kenny Barron (New York Attitude),my one sin in life,trio,train
768,Tommy Flanagan,jtd/flanagant-scratch-lundgaardjnashl-1993-494254c5,49.39973958333333,Tommy Flanagan (Lets Play the Music of Thad Jones),scratch,trio,train
769,Kenny Drew,jtd/drewk-howarethingsinglocca-vindingmthigpene-1981-d4bf5d01,129.98958333333331,Kenny Drew (Your Soft Eyes),how are things in glocca morra,trio,train
770,Tommy Flanagan,jtd/flanagant-smoothsailing-washingtonpnashl-1993-0a1cbcba,89.98958333333333,Tommy Flanagan (Lady Be Good  for Ella),smooth sailing,trio,train
771,Ahmad Jamal,jtd/jamala-poorbutterfly-crosbyifournierv-1958-94f90cba,52.5,Ahmad Jamal (Complete Live at the Pershing Lounge 1958),poor butterfly,trio,train
772,Cedar Walton,jtd/brownr-somethingincommon-waltoncjonese-1977-fa75db3b,79.98958333333333,Cedar Walton (Something for Lester),something in common,trio,train
773,Kenny Drew,jtd/drewk-allblues-rstedntootiea-1974-2754da55,202.5,Kenny Drew (Dark Beauty),all blues,trio,train
774,Brad Mehldau,jtd/mehldaub-cta-grenadierlballardj-2006-9cdbc460,427.9296875,Brad Mehldau (Brad Mehldau Trio Live),i got rhythm,trio,train
775,McCoy Tyner,jtd/tynerm-vibrationblues-lewishwaitsf-1969-90bbb979,199.71875,McCoy Tyner (Cosmos),vibration blues,trio,train
776,Bill Evans,jtd/evansb-turnoutthestars-johnsonmlabarberaj-1980-c9ebbb22,99.98958333333333,Bill Evans (Consecration),turn out the stars,trio,train
777,Junior Mance,jtd/mancej-thiscantbelove-mayewilliamsj-1998-4b96584d,92.5,Junior Mance (Nadja),this cant be love,trio,train
778,John Hicks,jtd/hicksj-somethinghappens-dolphindbrooksc-1997-882f3c88,155.88932291666666,John Hicks (Nightwind An Erroll Garner Songbook),something happens,trio,train
779,Gene Harris,jtd/brownr-jada-harrisghamiltonj-1991-715d67dd,66.7890625,Gene Harris (3 Dimensional),jada,trio,train
780,Keith Jarrett,jtd/jarrettk-autumnleaves-peacockgdejohnettej-1996-b7c8a2ad,258.86979166666663,Keith Jarrett (Tokyo 96),autumn leaves,trio,train
781,Ahmad Jamal,jtd/jamala-likesomeoneinlove-nasserjfournierv-1966-c56d6b55,49.859375,Ahmad Jamal (Emerald City Nights Live At The Penthouse 19651966),like someone in love,trio,train
782,Bill Evans,jtd/evansb-youandthenightand-johnsonmlabarberaj-1980-3ae60add,138.69921875,Bill Evans (Consecration),you and the night and the music,trio,train
783,Bill Evans,jtd/evansb-peaudouce-gomezezigmunde-1974-6faeba3c,59.98958333333333,Bill Evans (Complete Fantasy Recordings),peau douce,trio,train
784,Bill Evans,jtd/evansb-billshittune-johnsonmlabarberaj-1980-0f9d3126,79.51953125,Bill Evans (His Last Concert in Germany),bills hit tune,trio,train
785,Chick Corea,jtd/coreac-offthecuff-gomezemotianp-2010-92201520,129.98958333333331,Chick Corea (Further Explorations),its you or no one,trio,train
786,Bill Evans,jtd/evansb-asleepinbee-johnsonmlabarberaj-1980-5017b6c7,39.98958333333333,Bill Evans (Turn Out the Stars The Final Village Vanguard Sessions),sleepin bee,trio,train
787,Bill Evans,jtd/evansb-deedido-israelscbunkerl-1966-08462a7b,39.98958333333333,Bill Evans (The Complete Bill Evans on Verve),deed i do,trio,train
788,Kenny Drew,jtd/drewk-inyourownsweetway-rstedntootiea-1974-04183a60,139.98958333333331,Kenny Drew (If You Could See Me Now),in your own sweet way,trio,train
789,McCoy Tyner,jtd/tynerm-upgainstthewall-sharpeascotta-1991-ad91193c,159.98958333333331,McCoy Tyner (Remembering John),up gainst the wall,trio,train
790,Oscar Peterson,jtd/petersono-thatoldblackmagic-brownrthigpene-1959-31e63b51,59.59895833333333,Oscar Peterson (Oscar Peterson Plays the Harold Arlen Song Book),that old black magic,trio,train
791,Junior Mance,jtd/mancej-holymama-riveramlaroccas-1977-9983c9b5,152.5,Junior Mance (Holy Mama),holy mama,trio,train
792,McCoy Tyner,jtd/tynerm-yousteppedoutofa-sharpeahayesl-1987-2b853f34,98.69921875,McCoy Tyner (Bon Voyage),you stepped out of a dream,trio,train
793,Bill Evans,jtd/evansb-five-gomezedejohnettej-1967-e3a24b59,32.5,Bill Evans (Another Time  The Hilversum Concert),five,trio,train
794,Hank Jones,jtd/jonesh-alansallies-duviviergdawsona-1978-5bcff2d1,66.95182291666666,Hank Jones (Compassion),alans allies,trio,train
795,Keith Jarrett,jtd/jarrettk-basinstreetblues-peacockgdejohnettej-1993-486d09c2,49.819010416666664,Keith Jarrett (Live at Open Theater East),basin street blues,trio,train
796,Oscar Peterson,jtd/petersono-satindoll-brownrthigpene-1964-f07c7707,29.989583333333332,Oscar Peterson (In Tokyo 1964),satin doll,trio,train
797,Bill Evans,jtd/evansb-whocaniturnto-gomezemorellm-1972-4e94efd3,38.729166666666664,Bill Evans (Momentum),who can i turn to,trio,train
798,Keith Jarrett,jtd/jarrettk-momentsnotice-peacockgdejohnettej-1998-357ce0e7,109.98958333333333,Keith Jarrett (After the Fall),moments notice,trio,train
799,Oscar Peterson,jtd/petersono-tangerine-brownrthigpene-1964-73f267b6,118.90885416666666,Oscar Peterson (Affinity),tangerine,trio,train
800,Bill Evans,jtd/evansb-myheartstoodstill-chamberspjoep-1958-ad0a04fb,169.27994791666666,Bill Evans (Peace Piece and Other Pieces),my heart stood still,trio,train
801,McCoy Tyner,jtd/tynerm-thesurreywiththefringe-lewishwaitsf-1968-98842237,209.98958333333331,McCoy Tyner (Time for Tyner),surrey with the fringe on top,trio,train
802,Cedar Walton,jtd/waltonc-ididntknowwhattime-dumastpenlandr-1979-28cbeeb4,189.79947916666666,Cedar Walton (Charmed Circle Live at the Keystone Korner),i didnt know what time it was,trio,train
803,Bill Evans,jtd/evansb-californiahereicome-gomezejoep-1966-0a6c5b01,49.98958333333333,Bill Evans (The Complete Bill Evans on Verve),california here i come,trio,train
804,Bill Evans,jtd/evansb-yetneerbroken-johnsonmlabarberaj-1980-49c79c0a,42.5,Bill Evans (Turn Out the Stars The Final Village Vanguard Sessions),yet neer broken,trio,train
805,Kenny Barron,jtd/barronk-rhythmaning-williamsbrileyb-1982-d3ac958f,349.9895833333333,Kenny Barron (Live),rhythmaning,trio,train
806,Kenny Barron,jtd/barronk-toneforjoansbones-drummondrrileyb-1990-9fa204af,119.98958333333333,Kenny Barron (The Only One),tone for joans bones,trio,train
807,Bill Evans,jtd/evansb-whocaniturnto-gomezemorellm-1973-99d33ea0,107.01953125,Bill Evans (Live In Paris 1972 Vol 3),who can i turn to,trio,train
808,Kenny Drew,jtd/drewk-weirdo-chamberspjoep-1956-b06c7715,79.98958333333333,Kenny Drew (Kenny Drew Trio),weirdo,trio,train
809,Keith Jarrett,jtd/jarrettk-rainbow-hadencmotianp-1972-2c0f6494,179.98958333333331,Keith Jarrett (Hamburg 72),rainbow,trio,train
810,Ahmad Jamal,jtd/jamala-illtakeromancemy-crosbyifournierv-1960-017e3d56,259.8489583333333,Ahmad Jamal (The Complete Collection Part Two 1959  1962),my funny valentine,trio,train
811,Bill Evans,jtd/evansb-areyouallthethings-gomezemorellm-1974-b6e70afa,119.98958333333333,Bill Evans (Complete Fantasy Recordings),all the things you are,trio,train
812,Bill Evans,jtd/evansb-youregonnahearfromme-gomezedejohnettej-1967-b8288e9d,67.91927083333333,Bill Evans (Some Other Time The Lost Session From the Black Forest),youre gonna hear from me,trio,train
813,Oscar Peterson,jtd/petersono-ifeelpretty-brownrthigpene-1960-e20375cd,129.98958333333331,Oscar Peterson (West Side Story  Oscar Peterson Plays Porgy  Bess),i feel pretty,trio,train
814,Tommy Flanagan,jtd/flanagant-thingsaintwhattheyused-mitchellrjonese-1980-43759bc4,139.98958333333331,Tommy Flanagan (Super Session),things aint what they used to be,trio,train
815,Tommy Flanagan,jtd/flanagant-asleepinbee-mrazgkayc-1977-4f87e31b,159.98958333333331,Tommy Flanagan (Plays the Music of Harold Arlen),sleepin bee,trio,train
816,John Hicks,jtd/hicksj-airegin-lundycmuhammadi-1987-5fc996e8,206.95963541666666,John Hicks (Ill Give You Something to Remember Me By),airegin,trio,train
817,Kenny Barron,jtd/barronk-wellyouneednt-drummondrrileyb-1996-fbe7467b,416.77994791666663,Kenny Barron (The Perfect Set),well you neednt,trio,train
818,Junior Mance,jtd/mancej-whatisthisthingcalled-bettskwilliamsj-1998-15983625,199.98958333333331,Junior Mance (Mance),what is this thing called love,trio,train
819,Bill Evans,jtd/evansb-yetneerbroken-johnsonmlabarberaj-1980-fd9bb790,49.98958333333333,Bill Evans (The Last Waltz),yet neer broken,trio,train
820,Keith Jarrett,jtd/jarrettk-themasqueradeisover-peacockgdejohnettej-1998-779fa06c,218.89973958333331,Keith Jarrett (After the Fall),the masquerade is over,trio,train
821,Bill Evans,jtd/evansb-somedaymyprincewillcome-gomezezigmunde-1975-056f18dc,49.98958333333333,Bill Evans (Complete Fantasy Recordings),someday my prince will come,trio,train
822,Chick Corea,jtd/coreac-autumnleaves-patituccijweckld-1989-9f758273,122.5,Chick Corea (Chick Corea Akoustic Band),autumn leaves,trio,train
823,Keith Jarrett,jtd/jarrettk-whispernot-peacockgdejohnettej-1999-acdeb96f,176.63932291666666,Keith Jarrett (Whisper Not),whisper not,trio,train
824,Bill Evans,jtd/evansb-iloveyou-koticktmotianp-1958-607fa31f,99.359375,Bill Evans (Kind of Evans),i love you,trio,train
825,Tommy Flanagan,jtd/flanagant-likesomeoneinlove-tuckerbbaileyd-1961-d5cd9dde,52.5,Tommy Flanagan (Trio  Sextet),like someone in love,trio,train
826,McCoy Tyner,jtd/tynerm-thewiseone-sharpeascotta-1991-a8ff2e12,179.98958333333331,McCoy Tyner (Remembering John),the wise one,trio,train
827,Thelonious Monk,jtd/monkt-bluemonk-heathpblakeya-1952-84e19346,289.3098958333333,Thelonious Monk (The High Priest),blue monk,trio,train
828,Ahmad Jamal,jtd/jamala-smokegetsinyoureyes-crosbyifournierv-1960-c72a41e8,57.25911458333333,Ahmad Jamal (The Complete Ahmad Jamal Trio Argo Sessions 195662),smoke gets in your eyes,trio,train
829,Thelonious Monk,jtd/monkt-evidence-mckibbonablakeya-1971-3d0e983e,242.72916666666666,Thelonious Monk (The Complete Black Lion and Vogue Recordings of Thelonious Monk),just you just me,trio,train
830,Junior Mance,jtd/mancej-ccrider-mayewilliamsj-1998-4c808e05,217.52994791666666,Junior Mance (Nadja),cc rider,trio,train
831,Oscar Peterson,jtd/petersono-bandcall-brownrthigpene-1962-01a2ab5d,99.98958333333333,Oscar Peterson (Night Train),band call,trio,train
832,Keith Jarrett,jtd/jarrettk-sandu-peacockgdejohnettej-1999-f83262a5,277.93229166666663,Keith Jarrett (Whisper Not),sandu,trio,train
833,Keith Jarrett,jtd/jarrettk-wrapyourtroublesindreams-peacockgdejohnettej-1999-fc4d6c7d,129.98958333333331,Keith Jarrett (Whisper Not),wrap your troubles in dreams,trio,train
834,Hank Jones,jtd/jonesh-opusdefunk-wongdpearsonl-2010-a8c956eb,69.00911458333333,Hank Jones (Last Recording),opus de funk,trio,train
835,Ahmad Jamal,jtd/jamala-beatoutone-crosbyiperkinsw-1960-1ee14d79,189.98958333333331,Ahmad Jamal (The Complete Ahmad Jamal Trio Argo Sessions 195662),beat out one,trio,train
836,Oscar Peterson,jtd/petersono-atlonglastlove-brownrthigpene-1964-770fac8b,188.04947916666666,Oscar Peterson (In Tokyo 1964),at long last love,trio,train
837,McCoy Tyner,jtd/tynerm-howdeepistheocean-sharpeahayesl-1987-0caefcbd,136.84895833333331,McCoy Tyner (Bon Voyage),how deep is the ocean,trio,train
838,Oscar Peterson,jtd/petersono-youngerthanspringtime-orstednhayesl-1971-ae214428,77.91927083333333,Oscar Peterson (Great Connection),younger than springtime,trio,train
839,Oscar Peterson,jtd/petersono-tricotism-brownrthigpene-1961-20dd5fe5,197.06901041666666,Oscar Peterson (The London House Sessions),tricotism,trio,train
840,Kenny Drew,jtd/drewk-yesterdaysalternatetake-russellcblakeya-1951-722999c7,109.89973958333333,Kenny Drew (Howard McGhee  Introducing The Kenny Drew Trio),yesterdays,trio,train
